Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,39.84,FastTapIn,0,0.7685065,20.47552, ,0
1,39.86,FastTapIn,0.02,0.4099685,-17.9269, ,0
1,39.88,FastTapIn,0.04,0.6673458,12.86886, ,0
1,39.9,FastTapIn,0.06,0.01337583,-32.6985, ,0
1,39.92,FastTapIn,0.08,0.651466,31.90451, ,0
1,39.94,FastTapIn,0.09999999,0.1367621,-25.7352, ,0
1,39.96,FastTapIn,0.12,0.2425346,5.288627, ,0
1,39.98,FastTapIn,0.14,0.1075983,-6.746815, ,0
1,40,FastTapIn,0.16,0.1756354,3.401852, ,0
1,40.02,FastTapIn,0.18,0.06951367,-5.306086, ,0
1,40.04,FastTapIn,0.2,0.02326399,-2.312484, ,0
1,40.06,FastTapIn,0.22,0.03981043,0.8273222, ,0
1,40.08,FastTapIn,0.24,0.02720207,-0.6304181, ,0
1,40.1,FastTapIn,0.26,0.05945922,1.612858, ,0
1,40.12,FastTapIn,0.28,0.03319881,-1.31302, ,0
1,40.14,FastTapIn,0.3,0.09267417,2.973768, ,0
1,40.16,FastTapIn,0.32,0.04413974,-2.426722, ,0
1,40.18,FastTapIn,0.34,0.04224838,-0.09456836, ,0
1,40.2,FastTapIn,0.36,0.03554316,-0.3352607, ,0
1,40.22,FastTapIn,0.38,0.01851848,-0.851234, ,0
1,40.24,FastTapIn,0.4,0.03828605,0.9883783, ,0
1,40.26,FastTapIn,0.42,0.0156236,-1.133123, ,0
1,40.28,FastTapIn,0.4400001,0.06543056,2.490348, ,0
1,40.3,FastTapIn,0.4600001,0.02528333,-2.007362, ,0
1,40.32,FastTapIn,0.4800001,0.02612893,0.04228028, ,0
1,40.34,FastTapIn,0.5000001,0.08534385,2.960746, ,0
1,40.36,FastTapIn,0.52,0.03937542,-2.298421, ,0
1,40.38,FastTapIn,0.54,0.08147502,2.10498, ,0
1,40.4,FastTapIn,0.56,0.07160019,-0.4937414, ,0
1,40.42,FastTapIn,0.58,0.1883785,5.838918, ,0
1,40.44,FastTapIn,0.6,0.01445239,-8.696308, ,0
1,40.46,FastTapIn,0.6199999,0.2388864,11.2217, ,0
1,40.48,FastTapIn,0.6399999,0.4473468,10.42302, ,0
1,40.5,FastTapIn,0.6599999,0.0466507,-20.03481, ,0
1,40.52,FastTapIn,0.6799999,1.055984,50.46666, ,0
2,41.62,FastTapIn,0,0.9596988,31.6089, ,0
2,41.64,FastTapIn,0.02,0.4701295,-24.47846, ,0
2,41.66,FastTapIn,0.04,0.9109394,22.04049, ,0
2,41.68,FastTapIn,0.06,0.2636014,-32.3669, ,0
2,41.7,FastTapIn,0.08,0.2603365,-0.1632437, ,0
2,41.72,FastTapIn,0.09999999,0.05337096,-10.34828, ,0
2,41.74,FastTapIn,0.12,0.06979112,0.821008, ,0
2,41.76,FastTapIn,0.14,0.09872091,1.44649, ,0
2,41.78,FastTapIn,0.16,0.01578324,-4.146883, ,0
2,41.8,FastTapIn,0.18,0.02545451,0.4835635, ,0
2,41.82,FastTapIn,0.2,0.01269138,-0.6381565, ,0
2,41.84,FastTapIn,0.22,0.01934483,0.3326724, ,0
2,41.86,FastTapIn,0.24,0.007704187,-0.582032, ,0
2,41.88,FastTapIn,0.26,0.02746701,0.9881414, ,0
2,41.9,FastTapIn,0.28,0.008294831,-0.9586092, ,0
2,41.92,FastTapIn,0.3,0.01494173,0.3323451, ,0
2,41.94,FastTapIn,0.32,0.08455969,3.480898, ,0
2,41.96,FastTapIn,0.34,0.03957463,-2.249253, ,0
2,41.98,FastTapIn,0.36,0.03583863,-0.1867997, ,0
2,42,FastTapIn,0.38,0.01614675,-0.9845942, ,0
2,42.02,FastTapIn,0.4,0.01553972,-0.03035143, ,0
2,42.04,FastTapIn,0.42,0.06249446,2.347737, ,0
2,42.06,FastTapIn,0.4400001,0.02967488,-1.640979, ,0
2,42.08,FastTapIn,0.4600001,0.0546828,1.250396, ,0
2,42.1,FastTapIn,0.4800001,0.03038604,-1.214838, ,0
2,42.12,FastTapIn,0.5000001,0.05876391,1.418894, ,0
2,42.14,FastTapIn,0.52,0.08555602,1.339605, ,0
2,42.16,FastTapIn,0.54,0.3095001,11.1972, ,0
2,42.18,FastTapIn,0.56,0.2205214,-4.448933, ,0
2,42.2,FastTapIn,0.58,0.52815,15.38143, ,0
3,43.22,FastTapIn,0,0.7588463,18.85363, ,0
3,43.24,FastTapIn,0.02,0.345498,-20.66742, ,0
3,43.26,FastTapIn,0.04,0.3439906,-0.07536858, ,0
3,43.28,FastTapIn,0.06,0.5721976,11.41035, ,0
3,43.3,FastTapIn,0.08,0.200223,-18.59873, ,0
3,43.32,FastTapIn,0.09999999,0.4175812,10.86791, ,0
3,43.34,FastTapIn,0.12,0.1141507,-15.17152, ,0
3,43.36,FastTapIn,0.14,0.1113701,-0.1390327, ,0
3,43.38,FastTapIn,0.16,0.04828923,-3.154042, ,0
3,43.4,FastTapIn,0.18,0.08662602,1.916839, ,0
3,43.42,FastTapIn,0.2,0.02700923,-2.980839, ,0
3,43.44,FastTapIn,0.22,0.0391826,0.6086684, ,0
3,43.46,FastTapIn,0.24,0.05137175,0.6094575, ,0
3,43.48,FastTapIn,0.26,0.02206283,-1.465446, ,0
3,43.5,FastTapIn,0.28,0.07182373,2.488045, ,0
3,43.52,FastTapIn,0.3,0.05332266,-0.9250535, ,0
3,43.54,FastTapIn,0.32,0.05881159,0.2744464, ,0
3,43.56,FastTapIn,0.34,0.01164356,-2.358401, ,0
3,43.58,FastTapIn,0.36,0.02104886,0.470265, ,0
3,43.6,FastTapIn,0.38,0.03650963,0.7730381, ,0
3,43.62,FastTapIn,0.4,0.01425124,-1.112919, ,0
3,43.64,FastTapIn,0.42,0.04780659,1.677768, ,0
3,43.66,FastTapIn,0.4400001,0.03450036,-0.6653117, ,0
3,43.68,FastTapIn,0.4600001,0.0775393,2.151947, ,0
